station_id,fuel_code,price_eur,date
2153,KOEL,1.555,2026-04-08
2154,95,1.653,2026-04-08
2154,dizel,1.894,2026-04-08
2154,KOEL,1.555,2026-04-08
2155,95,1.653,2026-04-08
2155,dizel,1.894,2026-04-08
2155,KOEL,1.555,2026-04-08
2156,95,1.653,2026-04-08
2156,dizel,1.894,2026-04-08
2156,KOEL,1.555,2026-04-08
2157,95,1.653,2026-04-08
2157,dizel,1.894,2026-04-08
2157,KOEL,1.555,2026-04-08
2159,95,1.653,2026-04-08
2159,dizel,1.894,2026-04-08
2159,KOEL,1.555,2026-04-08
2160,95,1.653,2026-04-08
2160,dizel,1.894,2026-04-08
2160,KOEL,1.555,2026-04-08
2161,95,1.653,2026-04-08
2161,dizel,1.894,2026-04-08
2161,100,1.905,2026-04-08
2161,KOEL,1.555,2026-04-08
2163,95,1.653,2026-04-08
2163,dizel,1.894,2026-04-08
2163,100,1.905,2026-04-08
2163,KOEL,1.555,2026-04-08
2164,95,1.653,2026-04-08
2164,dizel,1.894,2026-04-08
2164,100,1.905,2026-04-08
2164,avtoplin-lpg,1.049,2026-04-08
2164,KOEL,1.555,2026-04-08
2165,95,1.653,2026-04-08
2165,dizel,1.894,2026-04-08
2165,KOEL,1.555,2026-04-08
2166,95,1.653,2026-04-08
2166,dizel,1.894,2026-04-08
2166,100,1.905,2026-04-08
2166,KOEL,1.555,2026-04-08
2167,95,1.653,2026-04-08
2167,dizel,1.894,2026-04-08
2167,100,1.905,2026-04-08
2168,95,1.653,2026-04-08
2168,dizel,1.894,2026-04-08
2168,100,1.905,2026-04-08
2168,dizel-premium,2.369,2026-04-08
2168,avtoplin-lpg,1.049,2026-04-08
2168,KOEL,1.555,2026-04-08
2169,95,1.653,2026-04-08
2169,dizel,1.894,2026-04-08
2169,KOEL,1.555,2026-04-08
2170,95,1.653,2026-04-08
2170,dizel,1.894,2026-04-08
2170,KOEL,1.555,2026-04-08
2171,95,1.653,2026-04-08
2171,dizel,1.894,2026-04-08
2171,100,1.905,2026-04-08
2171,KOEL,1.555,2026-04-08
2172,95,1.653,2026-04-08
2172,dizel,1.894,2026-04-08
2172,100,1.905,2026-04-08
2172,dizel-premium,2.369,2026-04-08
2172,avtoplin-lpg,1.049,2026-04-08
2173,95,1.653,2026-04-08
2173,dizel,1.894,2026-04-08
2173,KOEL,1.555,2026-04-08
2174,95,1.653,2026-04-08
2174,dizel,1.894,2026-04-08
2174,100,1.905,2026-04-08
2174,KOEL,1.555,2026-04-08
2177,95,1.653,2026-04-08
2177,dizel,1.894,2026-04-08
2177,KOEL,1.555,2026-04-08
2178,95,1.653,2026-04-08
2178,dizel,1.894,2026-04-08
2178,100,1.905,2026-04-08
2178,KOEL,1.555,2026-04-08
2179,95,1.653,2026-04-08
2179,dizel,1.894,2026-04-08
2179,KOEL,1.555,2026-04-08
2180,95,1.653,2026-04-08
2180,dizel,1.894,2026-04-08
2180,KOEL,1.555,2026-04-08
2181,95,1.653,2026-04-08
2181,dizel,1.894,2026-04-08
2181,KOEL,1.555,2026-04-08
2182,95,1.653,2026-04-08
2182,dizel,1.894,2026-04-08
2182,KOEL,1.555,2026-04-08
2183,95,1.653,2026-04-08
2183,dizel,1.894,2026-04-08
2184,95,1.653,2026-04-08
2184,dizel,1.894,2026-04-08
2184,KOEL,1.555,2026-04-08
2185,95,1.653,2026-04-08
2185,dizel,1.894,2026-04-08
2185,KOEL,1.555,2026-04-08
2186,95,1.653,2026-04-08
2186,dizel,1.894,2026-04-08
2186,100,1.905,2026-04-08
2186,dizel-premium,2.369,2026-04-08
2186,KOEL,1.555,2026-04-08
2187,95,1.653,2026-04-08
2187,dizel,1.894,2026-04-08
2187,100,1.905,2026-04-08
2187,KOEL,1.555,2026-04-08
2188,95,1.653,2026-04-08
2188,dizel,1.894,2026-04-08
2188,100,1.905,2026-04-08
2188,KOEL,1.555,2026-04-08
2189,95,1.653,2026-04-08
2189,dizel,1.894,2026-04-08
2189,KOEL,1.555,2026-04-08
2190,95,1.653,2026-04-08
